11253: Spine Label 1/4" or 5/16",3.625,0.25,0.475,0,2,2,8.5,11,2,0.387,8.5,0.388
11253: Spine Label 3/8" or 1/2",3.625,0.375,0.475,0,2,2,8.5,11,3.5,0.387,6.75,0.388
11253: Spine Label 5/8" or 3/4",3.625,0.625,0.475,0,2,2,8.5,11,5.25,0.387,4.5,0.388
11275: Executive  Title Page,7.3,9.8,0,0,1,1,8.5,11,0.6,0.6,0.6,0.6
11275: Executive TOC 5-Tab,3,2,0,0,5,1,8.5,11,0.68,5.125,0.32,0.375
11276: Executive Title Page,7.3,9.8,0,0,1,1,8.5,11,0.6,0.6,0.6,0.6
11276: Executive TOC 8-Tab,3,1.22,0,0,8,1,8.5,11,0.88,5.125,0.36,0.375
11277: Executive Title Page,7.3,9.8,0,0,1,1,8.5,11,0.6,0.6,0.6,0.6
11277: Executive TOC 10-Tab,3,1,0,0,10,1,8.5,11,0.68,5.125,0.32,0.375
11278: Executive Title Page,7.3,9.8,0,0,1,1,8.5,11,0.6,0.6,0.6,0.6
11278: Executive TOC 12 Tab,3,0.85,0,0,12,1,8.5,11,0.5,5.125,0.3,0.375
11279: Executive Title Page,7.3,9.8,0,0,1,1,8.5,11,0.6,0.6,0.6,0.6
11279: Executive TOC 15-Tab,3,0.64,0,0,15,1,8.5,11,1,5.125,0.4,0.375
11406: View Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11407: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11408: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11408: Divider (5-Tab),1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11409: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11409: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11410: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11410: Easy Apply 5-Tab,1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11411: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11411: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11412: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11412: Easy Apply 5-Tab,1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11413: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11413: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11414: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11414: Easy Apply 5-Tab,1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11415: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11415: Easy Apply 8-Tab,1,0.42,0.25,0.42,10,8,11,8.5,0.26,0.625,0.26,0.625
11416: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11417: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
11418: Divider (5-Tab),1.75,0.5,0.3,0,20,4,8.5,11,0.5,0.3,0.5,0.3
11418: Easy Apply 5-Tab,1.63,0.42,0.4,0.42,10,5,11,8.5,0.26,0.625,0.26,0.625
11419: Divider (8-Tab),1.125,0.5,1,0,20,4,8.5,11,0.5,0.5,0.5,0.5
